title,release_year,description,type,rating,runtime,imdb_rating,genre,director,stars,gross
A Godwink Christmas: Meant for Love,2019.0,"Is it divine intervention/Godwink, coincidences or a meddling mom, when Alice, managing the family clothing store, and Jack, medical sales, keep bumping into each other before Christmas?",Movie,Not Rated,85.0,6.9,"Drama, Romance",Paul Ziller,"Cindy Busby, Benjamin Hollingsworth, Kathie Lee Gifford, Hilary Jardine, ",
A Christmas Coincidence,2018.0,A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.,Movie,TV-G,87.0,6.6,"Drama, Romance",Michael Robison,"Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton, ",
Charming Christmas,2015.0,"When a young businesswoman plays Mrs Claus at her family's department store over Christmas, her life begins to take some unexpected turns.",Movie,TV-G,85.0,6.1,"Drama, Romance",Craig Pryce,"Julie Benz, David Sutcliffe, Bruce Gray, Catherine McNally, ",
The Christmas Party,1931.0,"Jackie wants to throw a Christmas party for his friends on his football team, but doesn't know how to go about it. His fellow stars at MGM decide to help him out.",Movie,Approved,9.0,6.4,"Short, Family",Charles Reisner,"Lionel Barrymore, Wallace Beery, Jackie Cooper, Marion Davies, ",
Christmas Land,2015.0,"After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker.",Movie,TV-G,84.0,5.8,"Comedy, Drama, Family",Sam Irvin,"Nikki Deloach, Luke Macfarlane, Jason-Shane Scott, Maureen McCormick, ",
Prancer Returns,2001.0,"Preteen brothers from a broken marriage live with their mother, Denise, in a rural town. Ryan, the cheeky elder boy, wants to go live with their father, Matt, in Chicago. This confuses shy ...                See full summary »",Movie,Not Rated,91.0,5.8,"Family, Drama, Fantasy",Joshua Butler,"Gavin Fink, John Corbett, Stacy Edwards, Michael O'Keefe, ",
The Dog Days of Christmas,2021.0,"After finishing a mission, aid worker Annie Blake is going home to Vermont to spend the holidays with her family. When the local animal shelter closes, Annie steps in to save it with the help of the local vet and old school nemesis, Dylan.",Movie,,88.0,5.2,"Family, Romance",Tori Garrett,"Georgia Flood, Ezekiel Simat, Anthony Phelan, Christine Amor, ",
Elf-Man,2012.0,"An Elf is left behind by Santa to help rescue the Harper family from a lousy Christmas. The Elf and the family get more than they bargained for, as the kids help the Elf discover his special powers and true identity as a budding superhero.",Movie,Not Rated,86.0,3.5,"Comedy, Family, Fantasy",Ethan Wiley,"Jason 'Wee Man' Acuña, Jeffrey Combs, Mackenzie Astin, Mirelly Taylor, ",
Christmas Wishes and Mistletoe Kisses,2019.0,An interior designer is hired to decorate a lavish mansion over the Christmas season.,Movie,TV-G,84.0,6.5,"Drama, Family, Romance",D.J. Viola,"Jill Wagner, Matthew Davis, Brandon Quinn, Donna Mills, ",
Christmas Encore,2017.0,A struggling actress auditions for the lead role in a theater production of 'A Christmas Carol'.,Movie,TV-G,83.0,5.7,"Drama, Romance",Bradley Walsh,"Maggie Lawson, Brennan Elliott, Art Hindle, Tracey Hoyt, ",
A Christmas in Royal Fashion,2018.0,Handsome prince and fashion assistant fall in love amidst a Christmas fashion show.,Movie,AL,90.0,5.3,Romance,Fred Olen Ray,"Cindy Busby, Diarmaid Murtagh, Adam Levy, Michael Paré, ",
Christmas at Pemberley Manor,2018.0,A high-flying New York event planner is sent to a quaint small town to organize their Christmas festival.,Movie,TV-G,84.0,6.2,"Comedy, Romance",Colin Theys,"Jessica Lowndes, Michael Rady, Ben Estus, Maddie McCormick, ",
A Candy Cane Christmas,2020.0,"As Phoebe is searching for a new tradition to lift her holiday spirits, she realizes that it's not the traditions we cherish, but the people with whom we share them.",Movie,TV-PG,91.0,5.5,"Comedy, Drama, Romance",Adrian Langley,"Beverley Mitchell, Mark Ghanimé, Derek Johns, Benedicte Belizaire, ",
Christmas Under the Stars,2019.0,A Christmas-tree lot helps two people rediscover their holiday spirit.,Movie,TV-G,82.0,6.7,"Drama, Romance",Allan Harmon,"Jesse Metcalfe, Autumn Reeser, Clarke Peters, Anthony Bolognese, ",
Christmas Mail,2010.0,"In this holiday romantic comedy, a mysterious woman who works at the post office answering Santa's mail captures the heart of a disillusioned postal carrier",Movie,TV-PG,89.0,5.3,"Comedy, Drama, Family",John Murlowski,"Ashley Scott, A.J. Buckley, Lochlyn Munro, Rolonda Watts, ",
Road to Christmas,2018.0,"A TV producer is producing a Christmas Special for the 5th year but she is then told to co-produce it with the host's son. Initially, she's not too happy about it but - Christmas brings friends and families together.",Movie,TV-G,84.0,6.7,"Comedy, Drama, Romance",Allan Harmon,"Jessy Schram, Teryl Rothery, Matreya Scarrwener, Chad Michael Murray, ",
Love at the Christmas Table,2012.0,A man realizes that his best friend since childhood is the woman that he loves.,Movie,Not Rated,89.0,6.3,"Comedy, Drama, Romance",Rachel Lee Goldenberg,"Danica McKellar, Dustin Milligan, Lea Thompson, Scott Patterson, ",
One Starry Christmas,2014.0,"When journeying by bus to surprise her boyfriend for Christmas, Holly meets a charming cowboy who accompanies her.",Movie,TV-G,83.0,6.5,"Comedy, Drama, Romance",John Bradshaw,"Sarah Carter, Damon Runyan, Paul Popowich, Kathleen Laskey, ",
It's Beginning to Look a Lot Like Christmas,2019.0,"When a New England Christmas decorating competition searches for the town with the most Christmas spirit, the mayors of East and West Riverton go all out to get their towns to the top of the holiday heap.",Movie,TV-G,83.0,6.0,"Comedy, Romance",David Weaver,"Eric Mabius, Tricia Helfer, Aliza Vellani, Raf Rogers, ",
Inn Love by Christmas,2020.0,"On her way home to spend Christmas with her grandmother, Mandy runs into Lucas, her old high school rival.",Movie,,88.0,5.9,"Comedy, Drama, Romance",Jesse D. Ikeman,"Jonna Walsh, Jesse Hutch, Jayne Eastwood, Tammy Isbell, ",
48 Christmas Wishes,2017.0,"For the first time ever, two junior Elves have to leave home after losing an entire town's letters to Santa. While attempting to blend into small town life, they set out to retrieve every missing wish before Christmas Eve.",Movie,TV-G,84.0,3.9,"Animation, Adventure, Comedy",Marco Deufemia,"Justin G. Dyck, Madeline Leon, Liam MacDonald, Clara Kushnir, Ethan Yang, ",
Christmas Next Door,2017.0,"A famous MGTOW author is forced to look after his niece and nephew over the holidays and, with the help of his Christmas-loving neighbor, he learns to find love and the Christmas spirit.",Movie,TV-G,86.0,6.5,"Family, Romance",Jonathan Wright,"Jesse Metcalfe, Fiona Gubelmann, Brittany Bristow, Jenna Weir, ",
Rediscovering Christmas,2019.0,Sparks fly when a Boston department store window designer travels to her family's Connecticut town to help design its annual Snowflake Festival Christmas Eve dance and must work with the festival founders' stubborn but devoted grandson.,Movie,TV-G,87.0,5.8,"Comedy, Drama, Romance",Colin Theys,"Jessica Lowndes, B.J. Britt, Justine Cotsonas, David Naughton, ",
Boyfriends of Christmas Past,2021.0,"Leading up to Christmas, Lauren is visited by the ghosts of three ex-boyfriends. She must learn to open her heart or risk losing her best friend, Nate.",Movie,TV-G,84.0,6.0,"Comedy, Fantasy, Romance",Don McBrearty,"Catherine Haena Kim, Raymond Ablack, Jenna Katz, Paul Sun-Hyung Lee, ",
A Christmas Reunion,2015.0,"A high-flying advertising executive returns to her hometown following the death of her aunt, whose dying wish was for her niece to re-open her bakery shop and host the town's 50th annual Christmas cookie contest.",Movie,TV-G,86.0,5.1,"Comedy, Romance",Sean Olson,"Denise Richards, Patrick Muldoon, Jake Busey, Parker Stevenson, ",
Marrying Father Christmas,2018.0,"When Miranda Chester set off to find information on her biological father two Christmases ago, she never imagined that her investigation would lead her to both the family she had always longed for and Ian McAndrick - the love of her life.",Movie,TV-G,85.0,6.3,"Drama, Mystery, Romance",David Winning,"Erin Krakow, Niall Matter, Wendie Malick, P. Lynn Johnson, ",
"It's Christmas, Carol!",2012.0,"It's Christmas Eve in Chicago and heartless tyrant publishing exec Carol is haunted by her dead ex boss, who's the ghost of Christmas past, present and future.",Movie,TV-G,87.0,5.8,"Drama, Family, Fantasy",Michael M. Scott,"Emmanuelle Vaugier, Carrie Fisher, Olivia Cheng, Tygh Runyan, ",
Broadcasting Christmas,2016.0,"Two news broadcasters who previously were in love fight for a position as a morning talk show host that they both want, ultimately finding what made them like each other so much in the first place.",Movie,TV-G,84.0,6.0,"Comedy, Drama, Family",Peter Sullivan,"Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry, ",
The Christmas Tree,1991.0,"Heartless Mrs. Mavilda runs an orphanage where kids live in miserable conditions because she keeps all the donation money for herself. She hires a new assistant who, along with Santa, helps the kids finally have a merry Christmas.",Movie,TV-G,43.0,1.4,"Animation, Drama, Family",Flamarion Ferreira,"William Griffin, Elly Drygas, Ayal Kleinman, Karen Drygas, ",
Red Snow,2021.0,A struggling vampire romance novelist must defend herself against real-life vampires during Christmas in Lake Tahoe.,Movie,,80.0,5.4,"Comedy, Horror, Thriller",Sean Nichols Lynch,"Dennice Cisneros, Nico Bellamy, Laura Kennon, Vernon Wells, ",
A Song for Christmas,2017.0,"Two single parents stumble into the possibility of love for Christmas, not knowing that their daughters are embroiled in a nasty rivalry at school.",Movie,TV-G,89.0,5.9,"Comedy, Drama, Family",Christie Will Wolf,"Kelli Williams, Jonathan Scarfe, Pippa Mackie, Kayla Wallace, ",
Christmas Scavenger Hunt,2019.0,"When Belinda heads back to her hometown for the holidays, things get complicated when she teams-up with her ex-boyfriend for the annual Christmas scavenger hunt.",Movie,TV-G,82.0,6.0,"Comedy, Drama, Romance",Marita Grabiak,"Kim Shaw, Kevin McGarry, Tom Arnold, Kathryn Kohut, ",
Sleigh Bells Ring,2016.0,A busy single mom tasked with organizing her city's Christmas parade discovers an antique sleigh which seems to have a mind of its own.,Movie,TV-G,82.0,6.3,"Comedy, Family, Romance",Marita Grabiak,"Erin Cahill, David Alpay, Dakota Guppy, Jenna Romanin, ",
The Christmas Chalet,2019.0,"A Christmas-loving divorcee books a chalet with her mother and daughter for the holidays, where she meets a writer who despises Christmas. Together they learn the magic of Christmas and family.",Movie,AL,90.0,6.6,"Drama, Family, Romance",Jennifer Gibson,"Erica Durance, Robin Dunne, Elva Mai Hoover, Micah Kalisch, ",
Mistletoe Match,2022.0,"Journalist Olivia goes undercover to the successful Mistletoe Match event. There, she meets single dad, widower Thomas. Sparks soon fly, but with a promotion on the line, will she risk losing it all for the romance she never saw coming?",Movie,,,6.5,"Comedy, Romance",Graeme Campbell,"Elena Juatco, Ryan Bruce, AnnaMaria Demara, Catherine McGregor, ",
Santa Baby,2006.0,"Mary Class is a highly successful business executive - who just happens to be the daughter of Santa Claus. But when her father falls ill, Mary returns to the North Pole and the life she ...                See full summary »",Movie,PG,89.0,5.5,"Animation, Comedy, Fantasy",Ron Underwood,"Jenny McCarthy-Wahlberg, Ivan Sergei, George Wendt, Kandyse McClure, ",
Christmas on Repeat,2022.0,"An ad executive gets more than she bargained for when Santa grants her wish for a Christmas do-over, and she realizes she's been missing precious time with her family.",Movie,,89.0,5.5,"Comedy, Drama, Romance",Lindsay Hartley,"Jennifer Taylor, Gary Poux, Matthew Lawrence, Julia Terranova, ",
The Christmas Sitters,2020.0,"Facing holiday flight delays on a return trip from Europe, two parents double-book incompatible babysitters: the mother's BFF lawyer friend, Nora, and the dad's guitarist half-brother, Max,...                See full summary »",Movie,,80.0,5.4,"Comedy, Romance",Dylan Vox,"Tristin Mays, Nathan Owens, Melissa Ordway, Justin Gaston, ",
Matchmaker Santa,2012.0,A young baker discovers the magic of Christmas and love.,Movie,TV-G,75.0,6.5,"Comedy, Drama, Romance",David S. Cass Sr.,"Lacey Chabert, Florence Henderson, John Ratzenberger, Lin Shaye, ",
Merry Liddle Christmas,2019.0,"This story of a woman trying to get her dysfunctional family to look picture perfect for the holidays, who falls in love with her neighbor amidst the chaos.",Movie,TV-G,87.0,5.8,"Comedy, Drama, Romance",Bosede Williams,"Thomas Cadrot, Jaime M. Callica, Thalia Campbell, Jeff Gonek, ",
Winnie the Pooh: A Very Merry Pooh Year,2002.0,Ring in the season with Winnie The Pooh in a holiday adventure.,Movie,G,65.0,6.6,"Animation, Comedy, Drama",Gary Katona,"Ed Wexler, Jamie Mitchell, Jim Cummings, Peter Cullen, John Fiedler, Michael Gough, ",
Christmas Perfection,2018.0,"Darcy's been striving for the perfect Christmas since childhood and, thanks to a magical figurine, her dream finally comes true.",Movie,TV-PG,90.0,5.5,"Comedy, Drama, Fantasy",David Jackson,"Caitlin Thompson, James Henri-Thomas, Robbie Silverman, Rachel-Mae Brady, ",
The Christmas Doctor,2020.0,A travelling doctor finds love and a home at her latest assignment in Willowbrook,Movie,TV-G,84.0,6.9,"Drama, Romance",Kevin Fair,"Holly Robinson Peete, Adrian Holmes, Fred Henderson, Bronwen Smith, ",
Christmas on 5th Avenue,2021.0,Hopeless romantic Eva Jordan decorates a spectacular Manhattan Penthouse for Christmas and brings moody writer Lucas Blade some joy for the holidays.,Movie,,84.0,6.4,Romance,Amy Force,"Kathryn Davis, Olivier Renaud, Kara Duncan, Derick Agyemang, ",
Christmas in the Highlands,2019.0,A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.,Movie,,84.0,4.8,"Comedy, Drama, Romance",Ryan Dewar,"Dan Jeannotte, Brooke Burfitt, Nicholas Farrell, Geraldine Somerville, ",
A Christmas Star,2015.0,Noelle's born on Christmas with the magical ability to make people stop fighting. Her dad's workplace has problems and has to sell. The only buyer is evil.,Movie,AL,82.0,5.1,Family,Richard Elson,"Erin Galway-Kendrick, Robert James-Collier, Bronagh Waugh, Richard Clements, ",
Christmas in the Air,2017.0,"Struggling with his work-life balance, a widowed father-of-two enlists the help of a professional organizer for the holiday season.",Movie,TV-G,84.0,6.2,"Comedy, Romance",Martin Wood,"Catherine Bell, Eric Close, Ken Tremblett, Malcolm Stewart, ",
Paper Angels,2014.0,"An abused wife leaves her alcoholic husband and moves with her children to another town, where their lives become entwined with that of another family in trouble.",Movie,Not Rated,90.0,6.6,Drama,David Winning,"Matthew Settle, Rustin Gresiuk, Josie Bissett, Farryn VanHumbeck, ",
The Christmas Cure,2017.0,"A doctor returns home for Christmas to find that her father has decided to retire from his own practice. After reuniting with her high-school sweetheart, she wonders if she should stay and take over her father's practice.",Movie,TV-G,87.0,6.2,"Drama, Romance",John Bradshaw,"Brooke Nevin, Steve Byers, Patrick Duffy, Kathleen Laskey, ",
A Chance for Christmas,2021.0,"A social media star gets the offer to become a brand ambassador for a major company, if she can get 2 million subscribers by Christmas Eve.",Movie,TV-PG,92.0,5.8,"Comedy, Romance",Stefan Brogren,"Tori Anderson, Mykee Selkin, Habree Larratt, Declan Cassidy, ",
The Gold Rush,1925.0,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Movie,Passed,95.0,8.2,"Adventure, Comedy, Drama",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, ",$5.45M
Gingerbread Miracle,2021.0,"Maya is a freelance attorney who, after a minor setback, has been living in the apartment above her parents' garage and using the Casillas Panadería as her unofficial office for the past ...                See full summary »",Movie,,84.0,6.6,"Drama, Romance",Michael M. Scott,"Merritt Patterson, Jon-Michael Ecker, Jorge Montesi, Elyse Maloway, ",
Christmas on the Menu,2020.0,"Celebrated chef Josie heads home for the holidays and creates a special festive menu for her mom's new bed-and-breakfast bistro, where she runs into Tanner, the famous food critic who ...                See full summary »",Movie,TV-PG,88.0,6.2,"Comedy, Drama, Romance",Jake Helgren,"Kim Shaw, Clayton James, Cynthia Gibb, Katrina Norman, ",
My Christmas Inn,2018.0,A big city advertising executive inherits her great-aunt's inn and heads to the small Alaskan town where it's located to get it ready for sale.,Movie,TV-G,100.0,5.5,"Comedy, Drama, Romance",Peter Sullivan,"Tia Mowry-Hardrict, Rob Mayes, Jackée Harry, Tim Reid, ",
Santa & Cie,2017.0,"When all the elves get sick, Santa must find a cure on Earth to save Christmas.",Movie,TV-PG,92.0,6.3,"Comedy, Family, Fantasy",Alain Chabat,"Alain Chabat, Golshifteh Farahani, Pio Marmaï, Bruno Sanches, ",
Christmas Time,2017.0,Two estranged brothers try to reconnect at Christmas but there's something that one of them can't get past...the other think's he's a time traveler.,Movie,TV-PG,90.0,5.9,Comedy,Jake Van Wagoner,"Maclain Nelson, Jake Van Wagoner, Clare Niederpruem, Adam Johnson, ",
A Christmas Carol,2012.0,"On the anniversary of Jacob Marley's death, his business partner Ebenezer Scrooge finds unwelcome company in the form of three spirits from Christmases Past, Present and Yet to Come. If he ...                See full summary »",Movie,,82.0,3.5,"Drama, Fantasy",Jason Figgis,"Karl Argue, Lara Belmont, David Browne, Kathryn Browne, ",
The Christmas Shepherd,2014.0,The search for a missing dog leads to a new romance.,Movie,,84.0,6.7,"Drama, Romance",Terry Ingram,"Teri Polo, Martin Cummins, Jordyn Ashley Olson, Jill Teed, ",
Mariah Carey's Magical Christmas Special,2020.0,"When the world is faced with a holiday cheer crisis, the North Pole knows only one person who can solve it: Santa's great friend, Mariah Carey.",Movie,TV-G,43.0,5.7,"Adventure, Family, Fantasy",Roman Coppola,"Hamish Hamilton, Mariah Carey, Monroe Cannon, Moroccan Cannon, Misty Copeland, ",
The Engagement Clause,2016.0,A high-level executive must find herself a husband before Christmas in order to inherit a fortune.,Movie,TV-PG,87.0,5.5,"Comedy, Romance",Letia Clouston,"Jes Macallan, Coby Ryan McLaughlin, April Bowlby, James Eckhouse, ",
A Christmas Exchange,2020.0,"This holiday season, Molly Cooper swaps her snow covered farmhouse for Patrick Kensington's posh London apartment. While enjoying Christmas time in the UK, Molly begins to look forward to ...                See full summary »",Movie,TV-PG,87.0,6.0,"Drama, Romance",Justin G. Dyck,"Laura Vandervoort, Rainbow Sun Francks, Yanic Truesdale, Martin Roach, ",
Chasing Christmas,2005.0,"In a world where the holidays are run by the efficient Bureau of Yuletide Affairs, a bitter and burned-out Ghost of Christmas Past decides to go AWOL while on a ""mission"" and leave his ""target"" stranded in 1965.",Movie,PG,81.0,5.1,"Comedy, Fantasy",Ron Oliver,"Tom Arnold, Andrea Roth, Leslie Jordan, Brittney Wilson, ",
After the Thin Man,1936.0,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",Movie,Passed,112.0,7.6,"Comedy, Crime, Mystery",W.S. Van Dyke,"William Powell, Myrna Loy, James Stewart, Elissa Landi, ",$4.34M
Picture Perfect Royal Christmas,2020.0,Amanda is the assistant to a famous photographer. Her boss receives an invitation to photograph the Christmas festivities in the kingdom of Pantrea and Amanda goes posing as her. She will ...                See full summary »,Movie,,85.0,5.4,"Family, Romance",Todor Chapkanov,"Roxanne McKee, David Witts, Sophie Ward, Sophie Vavasseur, ",
Journey to the Christmas Star,2012.0,Once upon a time a little girl went out to find the Christmas star.,Movie,G,80.0,5.7,"Adventure, Family, Fantasy",Nils Gaup,"Vilde Zeiner, Anders Baasmo, Agnes Kittelsen, Stig-Werner Moe, ",
Nantucket Noel,2021.0,"Christina learns of a developer who is planning to tear down the wharf that is home to her toy store. Tensions rise as she falls for the developer's son, Andy.",Movie,TV-G,84.0,5.9,Romance,Kirsten Hansen,"Sarah Power, Trevor Donovan, Payton Lepinski, Daniel Bacon, ",
The Christmas Ornament,2013.0,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",Movie,TV-G,83.0,6.7,Romance,Mark Jean,"Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer, ",
On the Twelfth Day of Christmas,2015.0,"Maggie is thrilled when her long-time crush Mitch moves back to town. When she learns that Mitch's love for Christmas has drastically changed, she tries to bring back his holiday spirit by showing him the magic of Christmas.",Movie,TV-G,84.0,6.8,"Comedy, Romance",Harvey Crossland,"Brooke Nevin, Robin Dunne, Dani Kind, Geri Hall, ",
"Walk Softly, Stranger",1950.0,An ex-hood hopes to start a new life under an assumed name in a small town but his past catches up with him when an old crime-buddy asks him to help with a casino heist.,Movie,Approved,81.0,6.5,"Crime, Drama, Film-Noir",Robert Stevenson,"Joseph Cotten, Alida Valli, Spring Byington, Paul Stewart, ",
Help for the Holidays,2012.0,"Santa's elf (Summer Glau) helps a family (Eva La Rue, Dan Gauthier) during Christmastime.",Movie,TV-G,90.0,6.6,"Drama, Family, Fantasy",Bradford May,"Summer Glau, Eva LaRue, John Brotherton, Dan Gauthier, ",
A Royal Christmas Engagement,2020.0,"Lauren, a hard-working advertising executive, begins to fall for Paul, a consultant she has been paired with to land a big account for the upcoming holiday season. Unbeknownst to Lauren and...                See full summary »",Movie,,86.0,4.8,"Family, Romance",Fred Olen Ray,"Paige Bach, James Nitti, Louie Chapman, Samantha Dawson, ",
Christmas List,2016.0,"Isobel plans a storybook Christmas with her boyfriend, including a cottage in the Northwest and a bucket list of holiday traditions. But when he goes AWOL, the list proves challenging and a tempting new romance turns her life upside down.",Movie,TV-G,84.0,6.1,"Comedy, Drama, Romance",Paul A. Kaufman,"Alicia Witt, Gabriel Hogan, Peter Benson, Wanda Cannon, ",
Christmas She Wrote,2020.0,"Kaleigh is fired as popular column writer by the new editor at The Globe in NYC. She heads to her sister near Tahoe, CA, and helps in her bakery the weeks before Xmas. The single editor shows up - to right a wrong.",Movie,TV-G,84.0,5.8,"Drama, Romance",Terry Ingram,"Danica McKellar, Dylan Neal, April Telek, Andrew Francis, ",
Wrapped Up in Christmas,2017.0,A mall manager is tasked with cancelling the leases of underperforming stores at Christmas. She soon discovers that she's falling for a store owner's nephew as he helps his aunt try to get through the holidays.,Movie,TV-PG,90.0,6.0,"Comedy, Drama, Romance",Peter Sullivan,"Tatyana Ali, Brendan Fehr, Kim Fields, Cindy Pickett, ",
Once Upon a Holiday,2015.0,"When a Princess escapes her entourage to explore New York City over Christmas, she meets a young man who shows the beautiful stranger his side of the city.",Movie,TV-G,84.0,6.1,"Comedy, Drama, Romance",James Head,"Briana Evigan, Paul Campbell, Greg Evigan, Jacqueline Samuda, ",
Christmas Incorporated,2015.0,"Riley lands herself a new job via a case of mistaken identity, and her first assignment is to accompany her new boss on a trip to save a failing toy factory.",Movie,TV-G,85.0,6.4,"Comedy, Drama, Romance",Jonathan Wright,"Shenae Grimes-Beech, Steve Lund, Ron Lea, Hannah Spear, ",
Christmas Pen Pals,2018.0,"After being dumped by her boyfriend, a successful tech wiz dating-app creator returns to her hometown for the holiday season, and her dad gets her to sign up for the annual Christmas Cupid anonymous matchmaking event.",Movie,TV-PG,87.0,7.0,"Comedy, Drama, Romance",Siobhan Devine,"Sarah Drew, Niall Matter, Michael Gross, Chiara Zanni, ",
Christmas in Homestead,2016.0,Life is turned upside down for a small town mayor when a famous actress arrives to shoot her new Christmas movie.,Movie,TV-G,84.0,6.5,Romance,Steven R. Monroe,"Taylor Cole, Michael Rady, Brooklyn Rae Silzer, Jeff Branson, ",
Heidi,1937.0,"A plucky little orphan girl gets dumped abruptly into her gruff, hermit grandfather's care, then later gets retaken and delivered as a companion for an injured girl.",Movie,Passed,88.0,7.2,"Drama, Family, Musical",Allan Dwan,"Shirley Temple, Jean Hersholt, Arthur Treacher, Helen Westley, ",
The Christmas Dance,2021.0,"Traumatized by her past, Christmas is not at the top of Sarah's list this time of year. However, waltzing through life's unexpected emergencies, she is taught the Christmas Dance.",Movie,,94.0,4.6,"Drama, Family, Romance",Michael Arcell,"Brady Amaya, Richard Karn, Katherine Kelly Lang, Noah Nelson, ",
A Christmas for the Books,2018.0,A relationship expert is tasked with planning a Christmas gala in the hopes of landing her own TV show.,Movie,,90.0,5.2,"Comedy, Drama, Romance",Letia Clouston,"Chelsea Kane, Drew Seeley, Chad Connell, Gary Brennan, ",
A Joyous Christmas,2017.0,A young self-help author returns to her hometown during the Christmas holidays to promote her new book. She soon discovers the true meaning of Christmas and family.,Movie,TV-G,84.0,6.2,"Drama, Family, Romance",Allan Harmon,"Natalie Knepp, Michael Rady, Bonnie Bedelia, Steve Bacic, ",
12 Days of Giving,2017.0,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym, Lucky the Elf.",Movie,TV-G,87.0,6.0,"Comedy, Drama, Family",Christine Conradt,"Ashley Jones, David Blue, Jax Connolly, Preston James Hillier, ",
Pete's Christmas,2013.0,A put-upon teen finds himself reliving the same miserable Christmas day over and over again.,Movie,PG,86.0,6.0,"Comedy, Drama, Family",Nisha Ganatra,"Zachary Gordon, Molly Parker, Rick Roberts, Wesley Morgan, ",
Northpole: Open for Christmas,2015.0,"When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.",Movie,TV-G,83.0,6.1,"Drama, Family, Fantasy",Douglas Barr,"Lori Loughlin, Bailee Madison, Dermot Mulroney, Paul Stewart, ",
The Christmas Blessing,2005.0,A young doctor encounters romance and deals with his past when he returns to his hometown during the holidays.,Movie,TV-G,96.0,6.2,"Drama, Family, Romance",Karen Arthur,"Neil Patrick Harris, Rebecca Gayheart, Angus T. Jones, Hugh Thompson, ",
Hope at Christmas,2018.0,"Divorced Sydney inherits a house from her grandma. Seeing it with her 8 y.o. daughter, she stops at the bookstore and meets a single teacher there. She ends up helping out there for the Christmas season.",Movie,TV-G,82.0,6.5,"Comedy, Drama, Romance",Alex Wright,"Scottie Thompson, Ryan Paevey, Erica Tremblay, Colleen Winton, ",
"Signed, Sealed, Delivered for Christmas",2014.0,"When the beloved quartet of postal detectives discover an urgent letter written to God on Christmas Eve, they delay their own plans to help a little girl whose mother's life hangs in the balance.",Movie,Not Rated,84.0,7.5,"Drama, Mystery, Romance",Kevin Fair,"Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson, ",
An Evergreen Christmas,2014.0,"Leaving her seemingly glamorous Hollywood life on hold, Evie Lee is forced to return to her small hometown of Balsam Falls, Tennessee and her family's once-thriving Christmas tree farm to ...                See full summary »",Movie,PG,98.0,5.7,"Family, Music, Romance",Jeremy Culver,"Robert Loggia, Naomi Judd, Booboo Stewart, Charleene Closshey, ",
A Perfect Christmas List,2014.0,"As a last wish, a recently hospitalized grandmother, Evie, tasks her daughter and granddaughter, Sara, with a list of festive accomplishments to do together before Christmas, hoping that ...                See full summary »",Movie,TV-G,88.0,5.6,"Comedy, Drama, Family",Fred Olen Ray,"Ellen Hollman, Beth Broderick, Aaron Hill, Richard Karn, ",
Ice Sculpture Christmas,2015.0,"Callie, an aspiring chef, with her childhood friend David, enters Callie into a club's annual Christmas ice sculpting competition against her boss. Callie's passions for cooking and ice sculpting are met with romance and Christmas spirit.",Movie,TV-G,83.0,6.5,"Comedy, Drama, Romance",David Mackay,"Rachel Boston, David Alpay, Brenda Strong, Paul McGillion, ",
The Great Holiday Bake War,2022.0,"Julian and Brianna, old rivals from baking school meet again in a TV competition having separate plans on how to win they will learn that by working together they can create a new recipe for success and love.",Movie,,84.0,6.0,"Comedy, Drama, Romance",Lisa France,"Finesse Mitchell, LeToya Luckett, Colton Royce, Arlene Duncan, ",
His and Her Christmas,2005.0,Tom Lane is the star columnist for the media conglomerate owned San Francisco Sun newspaper. The company is thinking about increasing Tom's exposure by producing a new television show ...                See full summary »,Movie,TV-PG,89.0,5.0,"Comedy, Drama, Romance",Farhad Mann,"Dina Meyer, David Sutcliffe, April Telek, Kyle Cassie, ",
All About Christmas Eve,2012.0,"'Tis the Season for Evelyn Wright, literally, she is a party planner in NYC. At the last minute Eve finds out that one of her agency's top clients is throwing a HUGE Christmas event, in LA,...                See full summary »",Movie,PG-13,88.0,5.7,"Comedy, Romance",Peter Sullivan,"Haylie Duff, Chris Carmack, Connie Sellecca, Patrick Muldoon, ",
